feature_id,source,original_id,short_name,category,text,llm,scoring_format,prompt_template_ref,fire_rate_train,pos_lift_at_0.5,univariate_cv_f0.5,univariate_cv_precision,univariate_cv_recall,pointbiserial_r,lr_coefficient_in_ensemble,notes
v25_p1,policy_induction_v25,1,Cross-industry tech transfer,grounded,"Founders with deep technical expertise from one industry possess a unique advantage when applying it to disrupt a different, more traditional sector.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.2822,1.522,0.1607,0.1382,0.4617,0.1047,0.0403,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p11,policy_induction_v25,11,Long careers small firms (neg),grounded,"Founders with long careers managing small, slow-growth companies often lack the operational experience and mindset required to navigate the distinct challenges of achieving venture-backed hyper-growth and scale.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.1162,2.656,0.2519,0.2411,0.3086,0.2002,0.1082,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p38,policy_induction_v25,38,Prior exit/IPO predictor,grounded,"A founder's prior success leading a company to a significant exit or IPO is the strongest predictor of their ability to achieve repeatable, large-scale success.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.0618,2.238,0.1794,0.1902,0.1481,0.1049,-0.0069,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p52,policy_induction_v25,52,Lack non-founding experience (neg),grounded,"Founders without significant, non-founding operational or industry experience have a lower probability of scaling a company to a large, successful outcome.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.4331,1.425,0.1513,0.1273,0.6173,0.1184,0.0191,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p55,policy_induction_v25,55,Adjacent service leadership (neg),grounded,"Leadership experience in an adjacent service industry is a weak predictor of success in capital-intensive manufacturing, often indicating gaps in critical operational and go-to-market expertise.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.2651,1.9,0.1971,0.1702,0.5383,0.1783,0.0822,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p58,policy_induction_v25,58,Deep exec + prior exit,grounded,"Prioritize founders with deep executive experience in their target industry, especially when combined with a prior successful company exit, as this de-risks both market and execution challenges.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.1931,1.841,0.1834,0.1629,0.3704,0.1355,0.0385,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p72,policy_induction_v25,72,Small biz founding history (neg),grounded,A long history of founding small businesses is a negative predictor for achieving the hyper-growth and massive scale required for top-tier venture outcomes.,gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.1304,2.688,0.261,0.2457,0.3506,0.22,0.1804,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p80,policy_induction_v25,80,Gen. mgmt without tech (neg),grounded,"General management experience is a negative signal when not paired with deep, recent, and relevant technical expertise required to innovate and scale at venture speed.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.2056,2.054,0.2024,0.1787,0.4321,0.1705,0.1155,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p112,policy_induction_v25,112,Sales-only at large cos (neg),grounded,Founders with careers limited to sales leadership at large companies often lack the crucial product-building and zero-to-one skills required for early-stage success.,gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.5458,1.371,0.1489,0.124,0.7481,0.1317,0.125,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p116,policy_induction_v25,116,Domain depth vs scattered career,grounded,"Prioritize founders with deep, sustained expertise in their specific domain. A scattered professional history is a primary indicator of a fatal founder-market fit gap, correlating with failure.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.2898,1.517,0.1573,0.1355,0.442,0.1042,-0.017,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p121,policy_induction_v25,121,Strong network (2000+ LinkedIn),partial_proxy,"Prioritize founders with a robust professional network (2000+ LinkedIn connections), indicating strong macro-market influence and effective access to capital/talent within high-growth digital micro-segments, especially when combined with deep technical expertise.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.054,2.789,0.2444,0.2535,0.2148,0.1514,-0.0351,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p135,policy_induction_v25,135,Clinical healthcare + academic net,partial_proxy,"Founders in the 'Clinical & Diagnostic Healthcare' micro-market with a moderate professional network (e.g., 1000-2000 LinkedIn connections) are high risk if their network is primarily composed of academic peers and research collaborators, lacking robust connections to healthcare industry commercial leaders, experienced healthtech investors, or serial entrepreneurs.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.2391,1.879,0.1888,0.1639,0.4815,0.1648,0.0884,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p143,policy_induction_v25,143,Advanced STEM + R&D leadership,partial_proxy,"Founders possessing diverse advanced degrees (e.g., MBA combined with PhD/MS in Biological Engineering, Food Science, or Functional Genomics), who demonstrate 6+ years of senior R&D or scientific leadership roles within large enterprises (500+ employees) in Biotechnology, and possessing a robust professional network (2000-5000 LinkedIn connections).",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.0324,3.425,0.2322,0.3108,0.116,0.1482,0.0565,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p150,policy_induction_v25,150,Macro-market tailwinds,partial_proxy,"Favor companies operating in macro-markets experiencing significant secular tailwinds, such as resource demand in Extractive Industries, operational efficiency drives, or platform economy growth.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.4096,1.694,0.1795,0.1514,0.7012,0.1881,0.232,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p157,policy_induction_v25,157,VC/PE investor perspective,grounded,"Favor founders whose professional experience includes venture capital or private equity roles, providing an investor-centric perspective and strategic understanding of funding and exit strategies.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.1136,2.044,0.1937,0.1842,0.2444,0.1214,0.1225,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
v25_p161,policy_induction_v25,161,2yr+ tech in growth markets,partial_proxy,"Founders must have at least 2 years of direct technical contribution (e.g., Software Engineer, Research Scientist) within core technology stacks of high-growth micro-markets (e.g., AI/ML, SaaS Platforms, Cybersecurity), demonstrating critical impact on product development or foundational innovation.",gemini-2.5-flash,probability,prompts/policy_induction_v25.md,0.0687,2.481,0.2115,0.2245,0.1728,0.1292,0.0368,16-policy v25 ensemble; full ensemble CV F0.5 = 0.294
taste_A1_prior_acquisition,taste_policy_decomposition,A1_prior_acquisition,A1_prior_acquisition,accept,This founder has previously overseen or been involved in at least one acquisition as a founder.,gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.0293,2.862,0.1822,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_A2_senior_role_large_co,taste_policy_decomposition,A2_senior_role_large_co,A2_senior_role_large_co,accept,"This founder held a senior or executive role (Director, VP, GM, C-suite, or equivalent) at a large company (1,000+ employees) before founding their current startup.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.4949,1.202,0.1294,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_A3_top_phd,taste_policy_decomposition,A3_top_phd,A3_top_phd,accept,This founder has a PhD or postdoc from a top-tier university (QS rank 20 or better) in a technical or scientific field.,gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.0433,2.222,0.1646,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_A4_repeat_founder,taste_policy_decomposition,A4_repeat_founder,A4_repeat_founder,accept,This founder is a repeat founder — they have previously founded or co-founded at least one other company before their current startup.,gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.444,0.945,0.1012,,,,,20-policy ensemble; CV F0.5 ~0.308
