founder_uuid,rendered_text
33159ebb-97ff-43fe-a80e-31fdcf467065,"industry: Technology, Information & Internet Platforms
educations: education_1: degree=BA; field=Computer Science; qs_ranking=1
jobs: job_1: company_size=myself only employees; duration=<2; industry=Sports Teams & Leagues; role=CTO | job_2: company_size=2-10 employees; duration=<2; industry=E-Learning; role=CTO | job_3: company_size=2-10 employees; duration=<2; industry=Wellness & Community Health; role=Software Engineer | job_4: company_size=201-500 employees; duration=4-5; industry=Environmental & Waste Services; role=Graduate Fellow (NSF)"
33a7bba0-2ef6-415b-b73c-3dc994b8a86e,"industry: Entertainment & Live Arts
educations: education_1: qs_ranking=6
jobs: job_1: duration=2-3; role=Board of Directors, VP | job_2: duration=<2; role=Business Development, Product Marketing Consultant | job_3: duration=2-3; role=VP (Licensing) | job_4: company_size=51-200 employees; duration=2-3; industry=Entertainment & Live Arts; role=VP | job_5: duration=4-5; role=Director (Marketing) | job_6: company_size=201-500 employees; duration=<2; industry=Gaming; role=Senior Product Manager"
0fe9fcdf-eb06-4e2c-88d8-04468b427298,"industry: Industrial & Agricultural Machinery Manufacturing
jobs: job_1: company_size=5001-10000 employees; duration=6-9; industry=Networking & Cybersecurity Products; role=Security Expert"
4f5620d4-9db8-4cfc-a1f5-2fd917472865,"industry: Research Services & Market Analysis
educations: education_1: degree=PhD; field=Physics; qs_ranking=6 | education_2: degree=BS; field=Physics; qs_ranking=63
jobs: job_1: company_size=10001+ employees; duration=<2; industry=Higher Education & Research; role=Professor | job_2: duration=6-9; role=Founder, President, CEO | job_3: company_size=10001+ employees; duration=4-5; industry=Higher Education & Research; role=Associate Professor | job_4: company_size=10001+ employees; duration=>9; industry=Higher Education & Research; role=Assistant Professor | job_5: company_size=10001+ employees; duration=4-5; industry=Telecommunications Services; role=MTS, Technical Manager"
c347a753-2280-48f8-9a78-8bcff30dd0ac,"industry: Biotechnology & Nanotechnology Research
educations: education_1: qs_ranking=4 | education_2: degree=MD; qs_ranking=200+
jobs: job_1: company_size=201-500 employees; duration=2-3; industry=Biotechnology & Nanotechnology Research; role=Executive Chairman | job_2: company_size=201-500 employees; duration=2-3; industry=Biotechnology & Nanotechnology Research; role=CEO | job_3: duration=4-5; role=Venture Capitalist | job_4: company_size=201-500 employees; duration=4-5; industry=Biotechnology & Nanotechnology Research; role=CEO
ipos: ipo_1: amount_raised_usd=50M - 150M; valuation_usd=>500M
acquisitions: acquisition_1: acquired_by_well_known=False; price_usd=Undisclosed | acquisition_2: acquired_by_well_known=False; price_usd=>500M"
8929322b-7b83-465c-932c-705cd95062d1,"industry: Financial Services
educations: education_1: degree=BS; qs_ranking=127
jobs: job_1: company_size=51-200 employees; duration=<2; industry=Venture Capital & Private Equity; role=Managing Director | job_2: company_size=10001+ employees; duration=6-9; industry=Financial Services; role=Partner Managing Director | job_3: company_size=10001+ employees; duration=>9; industry=Financial Services; role=Managing Director"
610f21c9-80a7-4800-aff4-0896878ac6b3,"industry: Technology, Information & Internet Platforms
educations: education_1: degree=BS; field=Computer Science; qs_ranking=123
jobs: job_1: company_size=2-10 employees; duration=<2; industry=IT Services & Digital Solutions | job_2: duration=<2 | job_3: company_size=201-500 employees; duration=<2; industry=Marketing, Advertising & Events | job_4: duration=<2"
06fa097f-85bb-4e50-a39e-7fc96a924680,"industry: Technology, Information & Internet Platforms
educations: education_1: degree=MSc; field=Earth Sciences; qs_ranking=6 | education_2: degree=MBA; qs_ranking=6 | education_3: degree=BA; field=Economics; qs_ranking=11
jobs: job_1: company_size=10001+ employees; duration=2-3; industry=Financial Services; role=VP (Chief Investment Office) | job_2: company_size=10001+ employees; duration=6-9; industry=Financial Services; role=Analyst, Associate"
9208eb0e-6e3a-48ef-bb2a-bfd366a0986e,"industry: Technology, Information & Internet Platforms
educations: education_1: degree=Master of Science; field=Learning and Organizational Change; qs_ranking=42 | education_2: degree=MFA; field=2D Design; qs_ranking=200+ | education_3: degree=BFA; field=Graphic Design; qs_ranking=200+
jobs: job_1: company_size=11-50 employees; duration=2-3; industry=Technology, Information & Internet Platforms; role=Co-Founder, CCO | job_2: company_size=501-1000 employees; duration=<2; industry=IT Services & Digital Solutions; role=VP (User Experience) | job_3: company_size=11-50 employees; duration=<2; industry=Personal & Consumer Services; role=Co-Founder, Creative Director | job_4: company_size=2-10 employees; duration=<2; industry=Technology, Information & Internet Platforms; role=Founder | job_5: company_size=10001+ employees; duration=2-3; industry=Financial Services; role=Interactive Design Director | job_6: company_size=501-1000 employees; duration=<2; industry=Higher Education & Research; role=Adjunct Professor | job_7: company_size=1001-5000 employees; duration=<2; industry=Higher Education & Research; role=Web Manager | job_8: duration=2-3; role=Communications Manager"
a5851a0d-1cd1-4b18-ace9-6f0788abc0da,"industry: Software Development
educations: education_1: degree=MSc; field=Microengineering; qs_ranking=200+ | education_2: degree=BSc; field=Microtechnique; qs_ranking=200+
jobs: job_1: company_size=11-50 employees; duration=<2; industry=Technology, Information & Internet Platforms; role=Software Engineer | job_2: duration=<2; role=Software Engineer"
